ocr_line_num,ocr_text,ref_line_num,ref_text,similarity
1,yssi comensan las paraulas de,1,Ayssi comensan las paraulas de Albucasim .,0.8169014084507042
2,de albucasin,2858,; de acacia drac .,0.4666666666666667
3,delu so conseqͥt,1005,aquel segon la sanetat .,0.45
4,per aquo fill necessari es a,1395,E totz aquetz so necessaris en lor loc .,0.5294117647058824
5,la fe eulu. eper,2390,la carn esser en lu engendrada .,0.4583333333333333
6,las exposicios,2909,segon tota disposicio .,0.4864864864864865
7,delu. eper las de claracios delu es ami uist,586,De cauterizacio de albaras que es morfea .,0.5116279069767442
8,que yeu complesca aquela a uos an a q̃st,1154,E aprop leyssa aquela ayssi streyta cum roman .,0.4827586206896552
9,tractat lequal es partida dela operacio amn,2780,Ayssi comensa lo prolec de la tersa partida : de restauracio .,0.49523809523809526
10,ma so es corurgia. quar la operaçio am ma,1645,"E havem dit la peyra en la qual catz operacio am ma , e seccio .",0.5283018867924528
11,des prostrada en nostre religio. e en nostie,3326,E aprop pausa sobre aquela emplastre e pulvils e strenh aquela .,0.46296296296296297
12,temmps de tot priuada entro que fort leu pe,1660,E perquier de la peyra entro que stia dejos le tieu dit .,0.52
13,ric la sciencia delu. ele uistigi delu es ostat,1834,De mollificacio de la codena de los testiculs .,0.46808510638297873
14,e no romasero delu sino alcimnas petitas,185,De cauterizacio de lacrimas antiquas .,0.5384615384615384
15,descripcios enles libres dels aucies les q̃ls,1311,De seccio de scrophulas las quals accideyso en le col .,0.5
16,nuidero las mas. e en deuenc adaquels,2547,", de las quals so en le cap .",0.5151515151515151
17,error. e heyssitacio entro que son clausas,417,E aprop cura le loc entro que sia sanat .,0.5301204819277109
18,las entencios delu. ees elonguada la for,1175,De extraccio de ranula dejos la lengua .,0.5
19,sa delu. clart. ¶ ¶ es uist ami que,2456,palms e de detz e ja es pervengut a mi que yssic un de .,0.43956043956043955
20,yeu uiuifique aquela ain ordenacio de a,1657,E aprop perquier aquela e tota aquela deforo .,0.47058823529411764
21,quest tractat en aquela segon la nia de,2051,De extraccio de la segondina .,0.5507246376811594
22,exposicio. ede declaracio. ede abiemacio. e,1697,De extraccio de peyra de las femnas .,0.525
23,perque uengua aulas formas dels fer,1698,Peyra en las femnas pauc es engendrada .,0.5333333333333333
24,fil pus yeu le,2203,De las plaguas de lo ventre .,0.46511627906976744
25,iꝰ mentz de cautheri. e dels autres instru,615,De cauterizacio de claus e de los autres semblants .,0.5531914893617021
26,mentz dela obra cun sia per ad dicio de,1945,De eyssiment de lo embrio sobre les sieus pes .,0.46511627906976744
27,la declaracio. e per preparacio delu laqual,358,De la cauterizacio de la melsa .,0.48
28,causa es necessaria. ¶ Mars la cau,2960,"E aquesta causa no es a tu necessaria ; e si voles , fay aquo , e si voles , fay calguas .",0.46774193548387094
29,sa perla qual no es acrobat be artifex am,1161,E no fa aquo sino bo artifexs e savi .,0.4810126582278481
30,la siena ma en aquest nostre temps es ⁊,2639,E es milhor en aquest loc que oli e que les autres olis .,0.5
31,quar la art de medicina es longua. eque,193,E guarda te de la arceria que no incindas aquela .,0.5168539325842697
32,coue le sieu actor deuant aquo esser ex,2180,E yeu diyre la cura de las fracturas de lo cap en aquo que es envenidor .,0.5
33,cercitat enla sciencia de anotonua la qͣl,973,De reduccio de la eminencia de lo huel .,0.5185185185185185
34,recontec gualia entro que sapia les in,1904,E cura aquel entro que sia sanat .,0.5555555555555556
35,auos complit,859,E aprop tu compon .,0.45161290322580644
36,uament dels memibres. elas formas de,2580,"E le juvament de la fleubotomia de las venas algerich , .",0.5161290322580645
37,aquels. ela coniunccio. e la separaçio de,1220,E aquesta curacio es bona am salut .,0.5128205128205128
38,lor. chaia la conoyssensa dels osses dels,3180,E sapias que la coyssa es strenhuda en .,0.49382716049382713
39,neruis. edels la certz el nombre de aquels,2698,De ventozacio e de las qualitatz de uzar de aquelas .,0.5473684210526316
40,cla egrecio delor. e delas uenas pulsatile,190,De cauterizacio de fetor de nas .,0.5333333333333333
41,edelas quietas. edels locs deleyssiment,224,E aquesta es la forma de fuelha de mirtra .,0.4634146341463415
42,delor. eper aquo ditz ypocras que am,2946,De restauracio de lo nas quan es trincat .,0.46153846153846156
43,nom es mot mays ealobra petit. emaior,6,"E per aquo ditz Ypocras que am u nom es mot , mays en l ' obra petit , e majorment en la art de la ma .",0.4857142857142857
44,S uient enla art dela ma. mays nos Ia a,953,E aquesta es la forma de las forfexs : Capitol .,0.5057471264367817
45,nem dit de aquel introit de aquest libre.,30,Am aquel comensa le tractat de tot le libre .,0.5581395348837209
46,aquest libre le,2237,E aquesta sutura sabo les homes .,0.4583333333333333
47,quar qui no es scient aquo queli auen,3450,E aquesta specia de extencio es specia cominal a totas quatre .,0.48
48,dit de auotomia no es euacuat que no,2544,De fleubotomia de las venas .,0.49230769230769234
49,cara en error perlaqual siran mortz,988,E aprop strenh entro que sia sanat .,0.4507042253521127
50,les homes ayssi cum yeu heuist trops de,3095,ayssi cum havem dit .,0.5
51,aquels. ¶ uar alscus son format,3228,"dias o enviro aquels , quar aquel es restaurat .",0.5063291139240507
52,en esta scienciã. e gettan se de aquela ses,1337,E aquesta es la inscriptura de lo sermo de aquels .,0.5473684210526316
53,sciencia. e ses experiment. quar yeu ui,1749,E sia la apercio ampla entro que corro tota laygua .,0.46153846153846156
54,un metge folh. e enperit auer iucidit ⁊,1322,Quan le sanc es abscindit .,0.45454545454545453
55,una postena estrophilos enle colh de una,1281,De seccio de apostemas les quals veno en la codena de lo cap .,0.45098039215686275
56,femua. e inçidic alcunas arcerias del colh.,2181,De las plaguas de lo col .,0.5142857142857142
57,qual es le de,88,Capitol ters .,0.4444444444444444
58,perque fluie gran sanc entro quela feni,1558,E aprop cura aquel am l ' autra curacio entro que sia sana .,0.5252525252525253
59,na cazec morta entre las mas delu. e ui,3106,dias o entro a dos meses .,0.49230769230769234
60,un autre metge que pres que el tragne,379,De cauterizacio de pes e de las coyssas .,0.46153846153846156
61,ra una peyra din home lequal auia pro,140,E fay aquo segon aquel meteys orde le qual ja he dit .,0.46153846153846156
62,desit en sa etat ela perra era gran. e uen,2348,De inscizio extremitatz e de la serratura de los osses .,0.4897959183673469
63,guet alu etrayssec aquela peyra am un,71,sobre le loc e leyssa aquel per tres jorns .,0.5185185185185185
64,Etros dela uesiqua perque aquel home,1062,"Mays si endigeys de curacio que exsique , usa de aquela .",0.4731182795698925
65,Raltertz dia es moit. e yeu ia apelat fuy a,216,E aprop pren de sabo conogut e de caus viva ana unc .,0.4583333333333333
66,estrayra aquela eui que per la grandesa,1751,E aprop cura aquel entro que la plagua sia sanada .,0.5333333333333333
67,dela peyra. eperla disposias del malaute,3484,De la curacio de la dislocacio de lo talo .,0.5542168674698795
68,rier dela scien,1363,De seccio de las specias de nodes .,0.48
69,conogui sobre lu que morira. ¶ 2,1998,De extraccio de lo fet quan es mort .,0.43478260869565216
70,ui un autre metge lequal prema stipendie,1233,aquel le metge am la sua ma .,0.4927536231884058
71,de unduc deuostra tenra per cyrurgia. e,2441,De extraccio venae cruris .,0.5454545454545454
72,endeuen a un crastrat negre lequal era,893,E aquesta figura es letra greca : la landa .,0.4878048780487805
73,deues lu fractura enla coyssa delu. eper,3162,De restauracio de fractura de lo os de la coyssa .,0.5333333333333333
74,parec le metge auila suaIgnorancia es,1024,E sia le liament segon la sua disposicio entro a lo tertz dia .,0.44
75,treyssec la fractura sobre la plagua aui,3193,De restauracio de la fractura de la camba .,0.6024096385542169
76,puluinas. eastelas ain fort strectura. e,3144,"dias , o fort leu es restaurada en .",0.4473684210526316
77,no layssec ala plagua espiracio. e aprop,1343,E layssa la plagua uberta per alcun temps .,0.5542168674698795
78,l desliet segons los sieus desiriers. e ap,1953,Eyssiment de lo fet sobre les sieus denols e las suas mas .,0.5148514851485149
79,cia de nlediciñ,1519,De curacio de ydropici .,0.5
80,le relieg. e aprop le leyssec per alscus iorus,1439,De seccio de apostemas que accideysso per arceria o per vena .,0.5
81,e comandec que no deslies leliament. e,945,De colleccio de sabel en le huel .,0.5
82,estec ayssi entio quela coyssa el pe foro,1939,E preme le ventre de la femna entro que deyssenda le fet .,0.48484848484848486
83,apostematz. eperuenguet aperdicio. e yeu,1457,de lo apostema le qual accideys per torcio de nervis .,0.46808510638297873
84,fuy apelat alu e aparelhegui adesliar le,13,"E yeu fuy apelat a lu , e aparelhegui a desliar le liament , e conseguida es tranquilitat e enayssi amermet de sas dolors .",0.49079754601226994
85,liauient. e conseguida es tranquilitat,2112,E aprop cura la plagua entro que sia consolidada e sanada .,0.4536082474226804
86,c en ayssĩ amermet de sas dolors. mays,1290,; e las specias de lor so motas .,0.4722222222222222
87,empero ia corrupcio era confermada i,991,De curacio de alconati .,0.5
88,en le membre perque no pogui iefienai,1486,", e aprop cauteriza aquel per que no retorne .",0.4578313253012048
89,aquela eno cessec per ambular la cor,177,E fay aquel suzar en banh en degu per alcus jorns .,0.5057471264367817
90,per le complimĩt,314,per que son les cauteris .,0.4186046511627907
91,mpcio enle membre entro quel malau,3131,E considera le membre el liament aprop alcus dias .,0.5176470588235295
92,te peric. ¶ Sui un autre met,1992,", e una autra .",0.46511627906976744
93,ge lequal per forec una postenia caucros,335,De perforacio de apostema de lo fietge am cauteri .,0.5054945054945055
94,efo uloerat aprop alscus dias entro que,825,E aprop cura aquel entro que sia sanat .,0.5316455696202531
95,foc magnificada la malicia delu amn lo,1297,entro a la linha de .,0.4745762711864407
96,senhor delu laqual causa es quar le crãc,208,E aprop igneys le cauteri de lo qual aquesta es la forma de lu .,0.49523809523809526
97,Ecant es pur de humor melencolie la,163,De cauterizacio de melencolia .,0.5757575757575758
98,horas no coue que peruengua alu ain,413,Aprop igneys le cauteri que es semblant a ray .,0.4634146341463415
99,ferr de tot. sino que sia an uembre le,2145,De forma de los instrumentz que so aministratz a dar cristeri .,0.4752475247524752
100,Nqual sufferces que detot fos hostat in,2081,De curacio de las fistulas que endeveno dejos .,0.4418604651162791
